6.537618581205606461e-03,-2.122959792613983154e-01,5.974723696708679199e-01,3.301120921969413757e-02,-3.261077031493186951e-02,-7.510450482368469238e-01,6.586183309555053711e-01,2.954671084880828857e-01,5.648559331893920898e-01,1.947276666760444641e-02,-1.356280922889709473e+00,7.901217937469482422e-01,-2.029104903340339661e-02,3.994254767894744873e-01,9.799053072929382324e-01,1.121749654412269592e-01,1.591749787330627441e+00,-1.100173369050025940e-01,2.514587640762329102e-01,2.289736121892929077e-01,5.084436535835266113e-01,-1.776816397905349731e-01,5.267399922013282776e-02,-3.854300081729888916e-01,-9.196223318576812744e-02,-1.345576941967010498e-01,4.252087473869323730e-01,-9.665530920028686523e-02,-6.239509209990501404e-02
7.303184363991022110e-03,-2.155814468860626221e-01,5.942125320434570312e-01,2.003502100706100464e-02,-4.819970950484275818e-02,-7.578666806221008301e-01,6.503179669380187988e-01,3.251772224903106689e-01,6.088349819183349609e-01,6.342529505491256714e-02,-1.357389330863952637e+00,7.645058035850524902e-01,-5.889410153031349182e-03,4.504243433475494385e-01,9.558097720146179199e-01,1.211899742484092712e-01,1.624199867248535156e+00,-6.503345072269439697e-02,2.536114156246185303e-01,2.459262311458587646e-01,5.459659099578857422e-01,-2.103565633296966553e-01,4.755174741148948669e-02,-3.903937935829162598e-01,-9.897750616073608398e-02,-1.056115627288818359e-01,5.235350131988525391e-01,-1.478209793567657471e-01,-5.508156493306159973e-02
7.932663895189762115e-03,-2.156475782394409180e-01,5.948375463485717773e-01,2.304300107061862946e-02,-5.010173469781875610e-02,-7.534939050674438477e-01,6.551379561424255371e-01,3.280413746833801270e-01,6.127806305885314941e-01,6.746421754360198975e-02,-1.358628511428833008e+00,7.610630989074707031e-01,-6.120949052274227142e-03,4.532815515995025635e-01,9.530555605888366699e-01,1.223528534173965454e-01,1.625684857368469238e+00,-5.984301492571830750e-02,2.521489262580871582e-01,2.486243098974227905e-01,5.434013605117797852e-01,-2.109454423189163208e-01,4.779135435819625854e-02,-3.882755041122436523e-01,-9.965455532073974609e-02,-1.029321476817131042e-01,5.227168202400207520e-01,-1.476901322603225708e-01,-5.429577827453613281e-02
5.025079473853111267e-03,-2.146703898906707764e-01,5.982683300971984863e-01,2.757348306477069855e-02,-3.897008299827575684e-02,-7.724742293357849121e-01,6.332492232322692871e-01,3.307998478412628174e-01,5.762401223182678223e-01,2.315873652696609497e-01,-1.218953967094421387e+00,5.374486446380615234e-01,-8.833264559507369995e-02,3.750963509082794189e-01,7.751853466033935547e-01,9.632492437958717346e-03,1.794437766075134277e+00,-1.794321835041046143e-01,2.811257243156433105e-01,1.915065795183181763e-01,6.857632994651794434e-01,-1.991519927978515625e-01,4.241825640201568604e-02,-3.454230427742004395e-01,-9.446607530117034912e-02,-1.239323318004608154e-01,4.528295099735260010e-01,-1.564274579286575317e-01,-5.159389600157737732e-02
4.102472215890884399e-03,-2.147976011037826538e-01,6.001374125480651855e-01,3.385049477219581604e-02,-3.560372069478034973e-02,-7.675211429595947266e-01,6.391383409500122070e-01,3.242716789245605469e-01,5.524734258651733398e-01,3.530234396457672119e-01,-1.144892692565917969e+00,4.195939302444458008e-01,-1.252823173999786377e-01,2.841610312461853027e-01,6.959990859031677246e-01,-4.160171002149581909e-02,1.863014936447143555e+00,-2.593437731266021729e-01,2.921235263347625732e-01,1.451499909162521362e-01,7.779339551925659180e-01,-1.935552805662155151e-01,4.108701646327972412e-02,-3.283123672008514404e-01,-7.373008131980895996e-02,-1.262888759374618530e-01,3.986606299877166748e-01,-1.633792668581008911e-01,-5.504759028553962708e-02
2.813652623444795609e-03,-2.150759249925613403e-01,6.006208062171936035e-01,4.457306861877441406e-02,-3.029768541455268860e-02,-7.691450119018554688e-01,6.367976665496826172e-01,3.301043212413787842e-01,5.193302035331726074e-01,4.558345973491668701e-01,-1.088310480117797852e+00,3.238220512866973877e-01,-1.750222593545913696e-01,2.014499604701995850e-01,5.790328979492187500e-01,-1.033703982830047607e-01,1.897691130638122559e+00,-3.339526653289794922e-01,2.706535756587982178e-01,8.842928707599639893e-02,8.452378511428833008e-01,-1.844390779733657837e-01,4.901733994483947754e-02,-3.377925455570220947e-01,-6.853803992271423340e-02,-1.154141128063201904e-01,3.897244632244110107e-01,-1.640883684158325195e-01,-5.795956403017044067e-02
1.067791017703711987e-03,-2.155819535255432129e-01,5.999665856361389160e-01,4.852014780044555664e-02,-3.135747835040092468e-02,-7.630372643470764160e-01,6.437675356864929199e-01,3.121500611305236816e-01,5.099650621414184570e-01,5.655521750450134277e-01,-1.027871012687683105e+00,2.499109208583831787e-01,-1.720421314239501953e-01,9.234014898538589478e-02,5.204848051071166992e-01,-1.263791620731353760e-01,1.905851721763610840e+00,-4.071591794490814209e-01,2.451121658086776733e-01,5.362689122557640076e-02,9.246950149536132812e-01,-1.760275959968566895e-01,5.392746999859809875e-02,-3.496012389659881592e-01,-6.964515149593353271e-02,-1.279352158308029175e-01,3.895348906517028809e-01,-1.710447967052459717e-01,-5.770072713494300842e-02
-1.011745072901248932e-03,-2.168568521738052368e-01,6.002728939056396484e-01,5.661816522479057312e-02,-2.945214696228504181e-02,-7.520737051963806152e-01,6.559817790985107422e-01,2.770993113517761230e-01,4.777641296386718750e-01,6.682301759719848633e-01,-9.751847386360168457e-01,1.684072166681289673e-01,-2.119818329811096191e-01,-5.019915848970413208e-02,4.934636652469635010e-01,-1.079058870673179626e-01,1.903374671936035156e+00,-4.880414009094238281e-01,1.967598199844360352e-01,1.337233372032642365e-02,9.832422137260437012e-01,-1.701069772243499756e-01,5.930366367101669312e-02,-3.478471636772155762e-01,-6.662090122699737549e-02,-1.249705851078033447e-01,3.847500383853912354e-01,-1.802798360586166382e-01,-6.309777498245239258e-02
-3.610100597143173218e-03,-2.174508720636367798e-01,5.995326638221740723e-01,6.012279912829399109e-02,-2.700416371226310730e-02,-7.475552558898925781e-01,6.609214544296264648e-01,2.699130475521087646e-01,4.639553427696228027e-01,7.517234086990356445e-01,-9.322789907455444336e-01,9.407339245080947876e-02,-2.116013765335083008e-01,-2.048714756965637207e-01,4.807928204536437988e-01,-5.929032340645790100e-02,1.890733003616333008e+00,-5.470567345619201660e-01,1.492748409509658813e-01,-1.264509372413158417e-02,1.031425237655639648e+00,-1.600581258535385132e-01,6.279607117176055908e-02,-3.585496842861175537e-01,-7.873225957155227661e-02,-1.360014230012893677e-01,3.935953378677368164e-01,-1.868132501840591431e-01,-6.601573526859283447e-02
-6.219861097633838654e-03,-2.183339595794677734e-01,5.978027582168579102e-01,6.110147386789321899e-02,-2.629861794412136078e-02,-7.424291968345642090e-01,6.666137576103210449e-01,2.366787046194076538e-01,4.572660028934478760e-01,8.419133424758911133e-01,-8.883678317070007324e-01,1.548172440379858017e-02,-2.174328863620758057e-01,-4.042443931102752686e-01,4.627880752086639404e-01,4.754636809229850769e-02,1.876154661178588867e+00,-5.972069501876831055e-01,1.103772148489952087e-01,-3.591402247548103333e-02,1.074110984802246094e+00,-1.553230881690979004e-01,6.354083865880966187e-02,-3.773509562015533447e-01,-8.667536079883575439e-02,-1.520484238862991333e-01,4.250819087028503418e-01,-1.933669149875640869e-01,-6.819323450326919556e-02
